,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,aide,help
4,demande,request
5,genre,kind
6,frère,brother
7,laisser,let
8,car,because
9,mettre,to put
10,aucun,no
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,arrivé,come
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,leurs,their
35,donné,given
36,train,train
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,sois,be
50,tiens,here
51,matin,morning
52,enfant,child
53,point,point
54,venu,came
55,suite,after
56,pardon,sorry
57,venez,come
58,devant,in front of
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,cause,cause
69,enfin,finally
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
74,nouvelle,new
75,boulot,job
76,arrêter,Stop
77,dirait,would say
78,terre,Earth
79,compte,account
80,donne,given
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
86,plutôt,rather
87,aura,will have
88,jouer,to play
89,bureau,office
